Geneid,8cell_1,8cell_2,8cell_3,Morula_1,Morula_2,Morula_3,Blastocyst_1,Blastocyst_2,Blastocyst_3
ENSG00000117215,0,0,0,0,0,0,0,0,0
ENSG00000230163,0,0,0,0,0,0,0,0,0
ENSG00000227538,0,0,0,0,0,0,0,0,0
ENSG00000044012,0,0,0,0,0,0,0,0,0
ENSG00000179051,2273,6212,9554,1957,968,1864,3614,859,1627
ENSG00000215895,7,2,2,1,0,4,0,0,2
ENSG00000284650,0,0,0,0,0,0,0,0,0
ENSG00000236948,0,0,0,0,0,0,0,0,0
ENSG00000126067,11619,8919,14778,4168,2373,5982,9413,1235,3770
ENSG00000274944,0,0,0,0,0,0,1,0,0
ENSG00000272078,0,0,0,0,0,0,2,0,0
ENSG00000230451,0,0,0,0,0,0,0,0,0
ENSG00000231606,0,0,0,0,0,0,0,0,0
ENSG00000284632,0,0,0,0,0,0,0,0,0
ENSG00000054118,5675,3874,3059,1045,844,3130,2143,358,1068
ENSG00000254553,0,0,0,0,0,0,0,0,0
ENSG00000284653,0,0,0,0,0,0,0,0,0
ENSG00000237749,506,100,110,34,33,62,40,3,28
ENSG00000276747,3033,1730,2656,80,161,436,0,20,36
ENSG00000284705,0,0,0,0,0,0,0,0,0
ENSG00000228776,0,0,0,0,0,0,0,0,0
ENSG00000159339,0,0,98,0,0,66,0,0,0
ENSG00000261781,0,0,0,0,0,0,0,0,0
ENSG00000284743,0,0,0,0,0,0,0,0,0
ENSG00000158315,3,14,66,2,37,16,24,0,0
ENSG00000186973,0,0,12,0,0,22,0,0,0
ENSG00000146463,495,692,564,221,56,722,689,37,295
ENSG00000271741,0,0,0,0,0,0,0,0,0
ENSG00000142686,435,156,730,126,18,80,52,0,24
ENSG00000224751,0,0,0,0,0,0,0,0,0
ENSG00000117148,27716,18682,19648,901,124,516,7,61,206
ENSG00000230585,0,0,127,0,0,9,0,0,0
ENSG00000117000,4940,1438,3967,310,214,2045,302,23,211
ENSG00000284989,0,0,0,0,0,0,0,0,0
ENSG00000231630,0,0,0,0,0,0,0,0,0
ENSG00000092853,5423,3229,3702,842,208,1581,794,94,495
ENSG00000255811,0,0,0,0,0,0,0,0,0
ENSG00000134697,15462,5008,7308,3041,1253,5173,3373,115,1382
ENSG00000187513,0,0,0,0,0,0,0,0,0
ENSG00000284720,0,0,0,3,0,0,0,0,0
ENSG00000225671,0,0,0,0,0,0,0,0,0
ENSG00000116151,7,63,151,41,31,8,20,48,40
ENSG00000006555,0,0,0,0,0,0,23,2,31
ENSG00000236111,5,4,1,0,0,0,1,0,0
ENSG00000214114,1019,1279,1580,356,133,578,1047,73,715
ENSG00000116544,12,9,29,5,0,46,63,52,9
ENSG00000236723,0,0,0,0,0,3,0,0,0
ENSG00000232467,0,0,1,0,0,0,0,0,0
ENSG00000117016,0,0,8,0,0,117,44,0,0
ENSG00000163866,874,897,1438,965,534,780,2544,582,1087
ENSG00000237130,0,0,0,0,0,0,0,0,0
ENSG00000232335,0,0,0,0,0,0,0,0,0
ENSG00000260971,0,15,0,0,0,0,0,0,0
ENSG00000284696,0,0,0,0,0,0,0,0,0
ENSG00000238242,0,0,0,0,0,0,0,0,0
ENSG00000232762,0,0,0,0,0,0,0,0,0
ENSG00000162384,1871,447,407,290,193,284,687,78,287
ENSG00000162391,4089,5797,6646,1039,922,2487,2037,989,832
ENSG00000117859,807,502,1707,162,19,486,1114,41,421
ENSG00000162396,479,579,747,170,38,117,235,132,184
ENSG00000284686,55,10,0,0,0,0,0,0,0
ENSG00000162378,135,34,485,34,26,167,359,37,82
ENSG00000233079,0,0,65,0,0,0,4,0,0
ENSG00000259818,0,0,0,0,0,0,0,0,0
ENSG00000229444,28,55,186,20,16,72,0,0,0
ENSG00000240563,525,4231,7631,699,478,901,230,97,496
ENSG00000234318,0,0,14,0,2,6,2,0,0
ENSG00000284773,0,0,0,0,0,0,7,0,0
ENSG00000234481,0,0,0,0,0,0,0,0,0
ENSG00000235612,0,11,36,0,0,0,0,0,0
ENSG00000227485,0,0,0,0,0,0,0,0,0
ENSG00000224609,0,0,16,0,0,39,0,0,0
ENSG00000235545,0,0,3,0,0,0,0,0,0
ENSG00000236646,0,0,1,0,0,0,10,0,0
ENSG00000238063,0,0,0,0,0,0,0,0,0
ENSG00000227104,0,0,0,0,0,0,0,0,0
ENSG00000243725,33,45,45,22,3,6,24,4,3
ENSG00000171872,31663,19306,18543,753,650,5083,72,14,10
ENSG00000162407,0,0,0,0,0,0,8,1,38
ENSG00000285079,0,66,0,0,0,0,0,0,0
ENSG00000163877,4171,3080,2074,306,121,295,283,17,146
ENSG00000228929,2199,785,1236,304,255,570,611,69,343
ENSG00000224570,0,0,0,0,0,0,0,0,0
ENSG00000224980,0,0,0,0,0,0,0,0,0
ENSG00000278967,0,0,0,0,0,0,0,0,0
ENSG00000157184,37,10,9,34,9,0,81,26,62
ENSG00000198815,1965,1993,2054,408,155,671,288,54,166
ENSG00000134744,50,635,308,182,162,192,474,129,135
ENSG00000233910,0,0,0,0,0,0,0,0,0
ENSG00000287703,0,0,0,0,0,0,0,0,0
ENSG00000283039,162,312,203,0,0,0,0,0,0
ENSG00000229294,0,0,20,0,0,0,2,0,0
ENSG00000234088,0,0,0,0,0,0,0,0,0
ENSG00000236973,0,0,0,0,0,0,0,0,0
ENSG00000277397,0,0,0,0,0,0,0,0,0
ENSG00000235446,0,0,0,0,0,0,0,0,0
ENSG00000162385,5707,5251,4871,1019,228,1730,1170,69,397
ENSG00000223883,0,0,0,0,0,0,0,0,0
ENSG00000237227,0,0,0,0,0,0,0,0,0
ENSG00000275350,0,0,0,0,0,0,0,0,0
ENSG00000116652,18,0,2,0,0,0,0,0,0
ENSG00000123080,198,2,224,30,0,0,17,4,0
ENSG00000285778,0,0,0,0,0,0,0,0,0
ENSG00000233407,0,0,0,0,0,0,0,0,0
ENSG00000225675,0,0,0,0,0,0,0,0,0
ENSG00000162598,0,0,0,0,0,0,0,0,0
ENSG00000280317,0,0,0,0,0,0,0,0,0
ENSG00000162415,0,0,55,1,2,0,64,0,10
ENSG00000162600,441,312,396,166,19,212,153,43,150
ENSG00000116704,104,164,385,55,28,45,178,11,72
ENSG00000157193,14,0,2,1,4,0,54,5,12
ENSG00000116205,1678,2120,3149,303,134,209,423,36,130
ENSG00000234204,0,0,0,0,0,0,0,0,0
ENSG00000233099,0,0,0,0,0,0,0,0,0
ENSG00000233994,16,16,13,0,0,2,10,0,0
ENSG00000233973,0,0,0,0,0,0,0,0,0
ENSG00000132854,0,1,12,78,24,26,316,142,271
ENSG00000227556,0,0,0,0,0,0,0,0,0
ENSG00000162607,8493,4696,5438,720,237,2528,811,230,565
ENSG00000285954,0,0,0,0,0,0,0,0,0
ENSG00000233333,0,0,0,0,0,0,0,0,0
ENSG00000154027,220,229,360,22,14,114,52,57,76
ENSG00000234108,1,0,0,0,0,0,0,0,0
ENSG00000232676,0,0,0,1,0,0,0,0,0
ENSG00000213579,0,2,0,0,0,0,0,0,0
ENSG00000137960,0,29,195,22,0,0,89,26,80
ENSG00000237852,121,4,4,2,0,12,1,0,0
ENSG00000132855,0,2,6,0,0,0,0,0,0
ENSG00000285407,0,6,63,19,0,0,7,0,0
ENSG00000270549,0,0,0,0,0,0,0,0,0
ENSG00000237163,0,0,0,0,0,0,0,0,0
ENSG00000229636,0,0,0,0,0,0,0,0,0
ENSG00000116675,45,28,153,0,0,27,1291,117,430
ENSG00000162433,262,552,2239,2264,710,1811,9172,827,6692
ENSG00000213625,265,145,452,248,18,111,539,51,265
ENSG00000233664,0,0,0,0,0,0,0,0,0
ENSG00000158966,0,0,199,113,79,266,178,23,207
ENSG00000213703,0,0,0,0,0,0,15,0,0
ENSG00000203965,44,24,131,12,12,18,12,0,6
ENSG00000223479,0,0,0,0,0,0,0,0,0
ENSG00000233674,0,0,17,0,0,0,0,0,0
ENSG00000153898,0,0,166,1,0,74,2,4,2
ENSG00000117069,0,0,19,0,0,16,2,0,0
ENSG00000125703,412,35,350,108,17,335,148,36,104
ENSG00000285041,0,0,0,0,0,0,0,0,0
ENSG00000234144,0,0,0,0,0,0,0,2,0
ENSG00000277670,0,0,0,0,0,0,0,0,0
ENSG00000227466,0,0,0,0,0,0,0,0,0
ENSG00000230498,0,0,0,0,0,0,0,0,0
ENSG00000285782,0,4,0,0,0,0,0,0,0
ENSG00000162618,0,0,22,0,0,0,0,0,0
ENSG00000224493,0,0,0,0,0,1,0,0,0
ENSG00000131233,0,0,0,0,0,0,0,0,0
ENSG00000272371,0,0,0,0,0,0,0,0,0
ENSG00000287647,0,0,0,0,0,0,0,0,0
ENSG00000229225,0,0,0,0,0,0,0,0,0
ENSG00000225598,0,0,0,0,0,0,0,0,0
ENSG00000286455,0,0,0,0,0,0,0,0,0
ENSG00000230053,0,0,0,0,0,0,0,0,0
ENSG00000137941,3,129,107,0,0,26,19,0,0
ENSG00000224326,0,0,0,0,0,0,0,0,0
ENSG00000286548,0,0,0,0,0,0,2,4,0
ENSG00000066135,556,579,229,23,8,284,60,9,14
ENSG00000272094,16,0,2,0,0,0,0,0,0
ENSG00000228853,0,0,0,0,0,0,0,0,0
ENSG00000284895,0,0,0,0,0,0,0,0,0
ENSG00000117174,2803,2397,2284,826,235,3178,1011,100,394
ENSG00000237413,84,43,16,9,0,46,0,6,0
ENSG00000184313,119,20,134,19,2,52,0,0,0
ENSG00000284645,0,0,0,0,0,0,0,0,0
ENSG00000225446,0,0,0,0,0,0,0,0,0
ENSG00000288543,0,0,0,0,0,0,0,0,0
ENSG00000122420,0,0,76,12,0,0,0,0,0
ENSG00000284240,0,0,0,0,0,0,0,0,0
ENSG00000236290,0,49,0,0,0,0,0,0,0
ENSG00000143013,883,1321,2148,124,166,738,687,73,218
ENSG00000226084,512,194,258,156,92,152,234,21,157
ENSG00000134748,24762,15857,19024,2920,900,6718,4069,540,1507
ENSG00000142892,366,14,121,126,40,252,342,51,208
ENSG00000287743,0,0,1,8,0,0,0,0,0
ENSG00000229332,0,0,0,0,0,0,0,0,0
ENSG00000227937,0,0,0,0,0,0,0,0,0
ENSG00000229752,1,0,0,0,0,0,0,0,0
ENSG00000237505,0,0,14,0,7,4,7,2,0
ENSG00000285462,0,0,0,0,0,0,0,0,0
ENSG00000233216,0,0,0,0,0,0,0,0,0
ENSG00000197273,0,0,0,0,0,0,8,0,15
ENSG00000226804,0,0,0,0,0,0,0,0,0
ENSG00000230728,0,1,5,0,0,0,0,0,0
ENSG00000232846,0,0,0,0,0,0,0,0,0
ENSG00000230787,0,1,0,0,0,0,0,0,0
ENSG00000116641,779,320,449,15,5,202,494,21,332
ENSG00000172260,0,4,29,0,15,16,0,0,0
ENSG00000285473,0,0,0,0,0,0,0,0,0
ENSG00000237959,0,0,0,0,0,0,0,0,0
ENSG00000231364,0,7,0,0,0,0,0,0,0
ENSG00000234578,0,0,0,0,0,0,0,0,0
ENSG00000137944,192,35,432,155,7,244,839,25,284
ENSG00000229505,0,0,0,0,0,0,0,0,0
ENSG00000228187,0,2,0,0,0,0,0,0,0
ENSG00000182183,0,73,128,0,5,87,0,0,0
ENSG00000236407,0,0,0,0,0,0,0,0,0
ENSG00000271949,0,0,0,0,0,0,0,0,0
ENSG00000227062,0,0,0,0,0,0,0,0,0
ENSG00000067334,30204,8487,17506,2816,863,8100,2979,226,1395
ENSG00000235011,0,0,0,0,0,0,0,0,0
ENSG00000213559,0,0,0,0,0,2,0,0,0
ENSG00000287587,0,0,0,0,0,0,0,0,0
ENSG00000142949,4,63,323,172,22,289,2974,914,1238
ENSG00000232882,0,0,22,0,0,0,45,3,10
ENSG00000171502,0,2,18,4,0,12,0,0,20
ENSG00000116157,0,0,180,0,3,27,0,0,0
ENSG00000143036,0,0,0,0,0,2,62,3,84
ENSG00000230817,0,0,0,0,0,27,0,0,0
ENSG00000065243,3492,1674,1836,309,161,633,550,98,277
ENSG00000226759,0,0,0,0,0,0,0,0,0
ENSG00000226960,0,0,0,0,0,0,0,0,0
ENSG00000234080,2,1,1,2,1,0,0,1,1
ENSG00000237899,0,0,0,0,0,0,0,0,0
ENSG00000227290,0,0,0,0,0,0,0,0,0
ENSG00000282898,0,0,0,0,0,0,0,0,0
ENSG00000285409,0,0,0,0,0,0,0,0,0
ENSG00000117528,1085,917,2155,462,87,969,1113,124,456
ENSG00000271723,0,0,5,0,0,0,0,0,0
ENSG00000036549,5997,5025,3745,474,244,1740,1234,73,440
ENSG00000225191,0,0,0,0,0,0,0,0,0
ENSG00000287870,0,0,0,0,0,0,0,0,0
ENSG00000232048,0,0,0,0,0,0,0,0,0
ENSG00000232857,0,0,0,0,0,0,0,0,0
ENSG00000273637,0,0,0,0,0,0,0,0,0
ENSG00000228838,0,0,0,0,0,0,0,0,0
ENSG00000283761,0,0,0,0,0,0,8,0,0
ENSG00000189433,0,0,0,0,0,0,2,0,0
ENSG00000230759,0,0,0,0,0,0,0,0,0
ENSG00000142700,0,0,0,0,0,0,0,0,0
ENSG00000285525,0,9,0,0,0,0,0,0,0
ENSG00000236098,0,0,0,0,0,0,2,2,0
ENSG00000233514,62,27,51,4,8,40,7,0,3
ENSG00000127124,0,0,0,63,0,16,10,0,0
ENSG00000266993,0,0,0,0,1,1,2,0,0
ENSG00000223675,0,0,0,0,0,0,0,0,0
ENSG00000229316,0,0,0,0,0,0,0,0,0
ENSG00000287406,0,0,108,3,0,0,0,0,0
ENSG00000225767,0,0,0,0,0,0,0,0,0
ENSG00000234099,0,0,0,0,0,0,0,0,0
ENSG00000137936,0,36,74,4,34,0,108,25,20
ENSG00000235308,0,1,0,0,0,0,0,0,0
ENSG00000232752,0,0,0,0,0,0,0,0,0
ENSG00000235829,0,3,0,0,0,0,0,0,0
ENSG00000143032,26,6,9,2,0,0,0,7,0
ENSG00000226745,1,1,8,0,0,0,135,35,40
ENSG00000280040,0,0,0,0,0,0,0,0,0
ENSG00000117519,441,566,1342,1158,229,700,2629,320,2828
ENSG00000270507,0,0,0,0,0,0,0,0,0
ENSG00000238037,7,0,0,0,0,0,0,0,0
ENSG00000134215,1757,286,1785,101,40,570,53,0,38
ENSG00000227935,0,0,0,0,0,0,0,0,0
ENSG00000228502,469,201,328,93,59,182,228,42,182
ENSG00000236268,0,0,0,0,0,0,5,0,0
ENSG00000271277,0,0,0,0,0,0,0,0,0
ENSG00000236888,0,0,0,0,0,0,0,0,0
ENSG00000279778,0,0,0,0,0,0,0,0,0
ENSG00000230828,0,0,0,0,0,0,0,0,0
ENSG00000188641,0,0,0,0,0,0,0,0,12
ENSG00000152078,1,1,27,531,94,190,456,422,666
ENSG00000233359,0,0,0,0,0,0,0,0,0
ENSG00000237954,0,0,0,0,0,0,0,0,0
ENSG00000171492,114,128,170,56,24,44,889,100,217
ENSG00000233129,0,0,0,0,0,0,0,0,0
ENSG00000170989,0,0,0,0,0,0,0,0,4
ENSG00000233557,0,0,0,0,0,0,0,0,0
ENSG00000237897,8,10,4,0,0,0,0,0,0
ENSG00000116299,0,115,320,10,0,39,4,0,1
ENSG00000137962,1108,369,542,47,3,921,768,16,216
ENSG00000286692,0,0,0,0,0,0,0,0,0
ENSG00000260464,0,0,0,0,0,0,0,12,0
ENSG00000237435,0,0,0,0,0,0,0,0,0
ENSG00000231996,0,0,0,0,0,1,0,0,0
ENSG00000273204,46,11,5,1,1,2,0,0,0
ENSG00000079739,0,0,2,34,72,0,729,60,319
ENSG00000117154,0,0,0,0,0,0,0,0,0
ENSG00000162377,1673,446,1174,452,194,1207,1786,159,711
ENSG00000224613,0,0,0,0,0,0,0,0,0
ENSG00000215871,0,0,0,0,0,0,0,0,0
ENSG00000287372,0,0,0,0,0,0,0,0,0
ENSG00000232542,0,0,0,0,0,0,0,0,0
ENSG00000116774,0,16,0,0,0,0,150,13,144
ENSG00000287756,0,0,0,0,0,0,0,0,0
ENSG00000284652,0,0,0,0,0,0,0,0,0
ENSG00000023909,169,0,160,101,8,532,1828,184,827
ENSG00000069702,298,425,648,255,75,299,2175,379,1062
ENSG00000228399,3,2,4,2,0,0,0,0,0
ENSG00000236776,0,0,0,0,0,0,0,0,0
ENSG00000224685,0,0,0,0,0,0,0,0,0
ENSG00000287076,0,0,0,0,0,0,0,0,0
ENSG00000237480,2,0,0,0,0,0,0,0,0
ENSG00000271252,0,0,0,0,0,0,0,0,0
ENSG00000235794,0,0,0,0,0,0,0,0,0
ENSG00000286758,0,0,0,0,0,0,0,0,0
ENSG00000237337,0,0,0,0,0,0,0,0,0
ENSG00000233983,0,38,0,0,0,0,0,0,0
ENSG00000198198,140,112,120,85,78,232,435,51,174
ENSG00000230402,0,0,0,0,0,0,0,0,0
ENSG00000116793,2451,289,1035,117,119,499,263,19,162
ENSG00000232918,0,0,0,0,0,0,0,0,0
ENSG00000183298,1017,675,581,314,219,388,843,171,678
ENSG00000234332,0,1,2,0,0,1,1,1,0
ENSG00000117525,0,1,11,49,32,23,209,45,195
ENSG00000225079,0,0,24,0,0,7,0,0,0
ENSG00000224238,0,0,0,0,0,0,0,0,0
ENSG00000229537,0,0,0,0,0,0,0,0,0
ENSG00000162699,0,0,0,0,0,0,0,0,0
ENSG00000162692,0,0,0,0,0,0,0,0,0
ENSG00000203914,1,0,1,0,0,0,2,0,3
ENSG00000270457,0,0,3,0,0,0,0,0,0
ENSG00000203858,0,0,0,0,0,0,0,0,0
ENSG00000231987,0,0,0,0,0,0,0,0,0
ENSG00000228057,6,8,15,7,0,22,9,2,6
ENSG00000224445,343,76,243,33,11,201,1,3,9
ENSG00000229842,0,0,0,0,0,0,0,0,0
ENSG00000229201,0,0,0,0,0,0,0,0,0
ENSG00000181656,0,0,0,0,2,0,0,0,0
ENSG00000122481,6,108,20,7,0,9,29,2,1
ENSG00000198162,3248,411,1129,301,63,990,827,65,314
ENSG00000171517,0,0,0,0,0,19,41,0,0
ENSG00000228852,0,0,13,0,0,0,3,0,0
ENSG00000203864,0,0,12,0,0,0,0,0,0
ENSG00000233482,0,0,0,0,0,0,0,0,0
ENSG00000230250,0,0,0,0,0,0,0,0,0
ENSG00000232878,0,0,0,0,0,0,0,0,0
ENSG00000143079,3046,1496,1570,123,39,359,351,27,120
ENSG00000232450,0,0,0,0,0,0,0,0,0
ENSG00000223575,0,0,12,0,0,0,0,0,0
ENSG00000230768,0,0,0,0,0,0,0,0,0
ENSG00000235202,0,0,0,0,0,0,0,0,0
ENSG00000272715,0,111,38,0,0,0,8,0,0
ENSG00000235038,0,0,0,0,0,0,0,0,0
ENSG00000173947,0,0,0,12,22,104,93,2,17
ENSG00000230434,0,0,0,0,0,0,0,0,0
ENSG00000230718,0,0,0,0,0,0,0,0,0
ENSG00000134198,0,0,0,0,0,0,0,0,0
ENSG00000235595,0,0,0,0,0,0,0,0,1
ENSG00000226053,0,0,0,0,0,0,0,0,0
ENSG00000226128,0,0,0,0,0,0,0,0,0
ENSG00000279513,0,0,0,0,0,0,0,0,0
ENSG00000117620,46,0,30,0,0,26,88,22,40
ENSG00000223906,0,0,0,0,0,0,0,0,0
ENSG00000162688,679,321,311,1028,254,1093,2289,477,1194
ENSG00000197106,0,0,0,0,0,0,0,0,0
ENSG00000259946,0,0,0,0,0,0,0,0,0
ENSG00000236137,0,0,28,0,0,0,9,2,3
ENSG00000203859,0,0,0,0,0,0,0,0,0
ENSG00000228086,0,0,0,0,0,0,0,0,0
ENSG00000213421,1,1,0,0,0,0,0,0,0
ENSG00000234020,0,0,0,1,0,0,11,1,0
ENSG00000236804,0,2,0,0,0,0,0,1,0
ENSG00000231072,0,0,0,0,0,0,0,0,0
ENSG00000273406,0,2,0,0,0,0,0,0,0
ENSG00000185946,67,215,752,62,7,302,133,34,89
ENSG00000162627,117,0,50,96,14,144,366,23,187
ENSG00000226715,0,2,6,0,0,14,0,0,0
ENSG00000162695,759,877,1385,277,133,563,392,61,202
ENSG00000265808,183,237,967,76,27,148,429,41,186
ENSG00000225923,0,0,0,0,0,0,0,0,0
ENSG00000134247,1008,262,732,32,145,126,554,67,315
ENSG00000187481,0,0,0,0,0,0,0,0,0
ENSG00000162664,742,531,1583,269,137,589,254,37,133
ENSG00000236866,0,0,15,0,0,0,0,0,0
ENSG00000134253,426,249,85,36,29,8,67,11,0
ENSG00000223416,116,53,74,24,16,33,43,34,38
ENSG00000179571,0,0,0,0,0,0,4,0,0
ENSG00000227850,7,2,2,0,0,0,2,0,3
ENSG00000235777,0,0,0,0,0,0,0,0,0
ENSG00000285532,0,0,0,0,0,0,2,0,0
ENSG00000226755,0,0,0,0,0,0,0,0,0
ENSG00000232650,0,0,0,0,0,0,0,0,0
ENSG00000183508,9041,2833,8055,347,246,474,42,26,123
ENSG00000277095,0,0,0,0,0,0,0,0,0
ENSG00000274927,0,0,5,0,0,0,0,0,0
ENSG00000264145,0,0,4,0,0,0,0,0,0
ENSG00000238256,0,0,0,0,0,0,0,0,0
ENSG00000198765,2,137,266,2,2,151,2,0,0
ENSG00000277702,10,3,26,0,3,8,0,0,0
ENSG00000143398,823,1335,1158,280,165,400,232,31,32
ENSG00000196505,1883,966,1469,343,110,406,382,22,148
ENSG00000223489,0,0,0,0,0,0,1,0,0
ENSG00000230546,0,0,0,0,0,0,0,0,0
ENSG00000213262,0,0,8,5,0,0,0,0,0
ENSG00000287015,0,16,0,0,0,0,0,0,0
ENSG00000235526,0,0,0,0,0,0,0,0,0
ENSG00000228347,0,0,0,0,0,0,0,0,0
ENSG00000236012,0,30,40,6,10,6,7,2,19
